age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,name,id,age_group,is_new_customer,has_success_before,contact_month,campaign_efficiency
56,3,1,0,0,0,0,1,6,1,261,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Miller,D4WIMSWY,46-60,1,0,telephone_may,0.0
57,7,1,3,1,0,0,1,6,1,149,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Williams,3H5W3M4T,46-60,1,0,telephone_may,0.0
37,7,1,3,0,2,0,1,6,1,226,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Davis,GR5XLFCL,36-45,1,0,telephone_may,0.0
40,0,1,1,0,0,0,1,6,1,151,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Brown,9H0AK223,36-45,1,0,telephone_may,0.0
56,7,1,3,0,0,2,1,6,1,307,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Jones,2JLHHZP3,46-60,1,0,telephone_may,0.0
45,7,1,2,1,0,0,1,6,1,198,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Miller,N0TASI69,36-45,1,0,telephone_may,0.0
59,0,1,5,0,0,0,1,6,1,139,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Johnson,SPZUSZ26,46-60,1,0,telephone_may,0.0
41,1,1,7,1,0,0,1,6,1,217,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Miller,YYDER62T,36-45,1,0,telephone_may,0.0
24,9,2,5,0,2,0,1,6,1,380,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Smith,1TCBIJQD,18-25,1,0,telephone_may,0.0
25,7,2,3,0,2,0,1,6,1,50,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Williams,6XSHK7K6,18-25,1,0,telephone_may,0.0
41,1,1,7,1,0,0,1,6,1,55,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Martinez,ODXV3VOY,36-45,1,0,telephone_may,0.0
25,7,2,3,0,2,0,1,6,1,222,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Jones,K9V4CFXU,18-25,1,0,telephone_may,0.0
29,1,2,3,0,0,2,1,6,1,137,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Smith,MX4O9D0X,26-35,1,0,telephone_may,0.0
57,3,0,0,0,2,0,1,6,1,293,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Hernandez,VG9AI8XI,46-60,1,0,telephone_may,0.0
