age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,name,id
45,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,mon,107,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,Chris Martinez,MFPEVZPG
55,retired,married,basic.4y,unknown,no,yes,cellular,jul,tue,599,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,Chris Davis,7ZWJ2XX8
54,admin.,married,high.school,unknown,yes,no,telephone,jun,mon,490,12,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,David Martinez,CFTETRM2
45,services,married,high.school,unknown,yes,no,cellular,aug,wed,100,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,Emily Hernandez,LC1HA5BW
54,management,married,university.degree,unknown,no,yes,telephone,jun,mon,140,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,Jane Jones,ZIBDCI69
31,blue-collar,married,basic.9y,unknown,yes,yes,telephone,may,mon,88,6,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no,Jane Smith,HFBQKF0I
45,blue-collar,single,basic.4y,unknown,yes,no,cellular,jul,tue,115,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,Chris Johnson,ULG4D2AY
33,blue-collar,divorced,basic.9y,unknown,no,no,cellular,jul,tue,889,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes,Laura Davis,PX5N4FDL
46,housemaid,single,university.degree,unknown,no,yes,cellular,jul,tue,142,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,Alex Hernandez,7JNURJEO
35,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,tue,53,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,Jane Martinez,L8R9H6RZ
40,entrepreneur,married,university.degree,unknown,yes,no,telephone,jun,mon,169,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,Sarah Miller,JMD0NWJ3
34,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,mon,316,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no,Sarah Hernandez,AAN4ZA93
38,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,120,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no,Jane Brown,5VMNOREQ
39,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,335,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no,Katie Miller,0UD8FBRW
41,admin.,married,university.degree,unknown,yes,no,cellular,may,mon,121,5,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no,Alex Smith,VSB1CUKQ
